GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cashpoint-service,com.etz.cashpoint.model.audit,DateAudit,14,3,0,0,6,1,4,1,4,1
cashpoint-service,com.etz.cashpoint,CashpointServiceApplication,5,37,0,0,2,11,1,3,1,3
cashpoint-service,com.etz.cashpoint.config,ApplicationPropertiesConfig,0,79,0,0,0,18,0,2,0,2
cashpoint-service,com.etz.cashpoint.config,PropertyConfig,451,320,125,17,0,18,77,33,6,33
cashpoint-service,com.etz.cashpoint.config,WebMvcConfig,0,64,0,0,0,10,0,3,0,3
cashpoint-service,com.etz.cashpoint.config,SecondaryDbConfig,0,45,0,0,0,9,0,4,0,4
cashpoint-service,com.etz.cashpoint.config,AuditingConfig,0,3,0,0,0,1,0,1,0,1
cashpoint-service,com.etz.cashpoint.config,PrimaryDbConfig,0,66,0,0,0,12,0,4,0,4
cashpoint-service,com.etz.cashpoint.config,SecurityConfig,0,74,0,0,0,26,0,4,0,4
cashpoint-service,com.etz.cashpoint.config,SwaggerConfig,0,41,0,0,0,14,0,3,0,3
cashpoint-service,com.etz.cashpoint.config,SecurityEntryPoint,40,9,0,0,6,4,1,2,1,2
cashpoint-service,com.etz.cashpoint.util,RequestExtra,132,0,22,0,7,0,20,0,9,0
cashpoint-service,com.etz.cashpoint.util,AppUtil,137,48,19,3,37,9,20,3,8,2
cashpoint-service,com.etz.cashpoint.util,ModelMapper,69,0,4,0,20,0,5,0,3,0
cashpoint-service,com.etz.cashpoint.model.secondary,MPOSDeviceSetup,381,3,70,0,8,1,55,1,20,1
cashpoint-service,com.etz.cashpoint.service.primary,UserService,132,3,0,0,24,2,6,1,6,1
cashpoint-service,com.etz.cashpoint.service.primary,CustomUserDetailsService,18,3,0,0,3,2,2,1,2,1
cashpoint-service,com.etz.cashpoint.service.primary,RoleService,5,12,1,1,1,5,1,2,0,2
cashpoint-service,com.etz.cashpoint.service.primary,UserIPService,0,7,0,0,0,2,0,2,0,2
cashpoint-service,com.etz.cashpoint.service.primary,TransactionService,416,7,10,0,88,2,15,2,10,2
cashpoint-service,com.etz.cashpoint.dto.request,TransactionRequest,556,0,102,0,39,0,80,0,29,0
cashpoint-service,com.etz.cashpoint.dto.request,UserRequest,262,0,46,0,19,0,40,0,17,0
cashpoint-service,com.etz.cashpoint.switchit,FundTransfer,66,0,0,0,28,0,19,0,19,0
cashpoint-service,com.etz.cashpoint.switchit,SwitchResponse,160,0,0,0,43,0,22,0,22,0
cashpoint-service,com.etz.cashpoint.switchit,XMLUtils,87,3,0,0,15,2,3,1,3,1
cashpoint-service,com.etz.cashpoint.switchit,SwitchITClient,163,10,2,0,22,4,4,2,3,2
cashpoint-service,com.etz.cashpoint.controller,TransactionController,193,16,10,0,31,6,9,2,4,2
cashpoint-service,com.etz.cashpoint.controller,SetupController,56,6,4,0,10,3,4,1,2,1
cashpoint-service,com.etz.cashpoint.controller,UserIpController,15,3,0,0,3,1,1,1,1,1
cashpoint-service,com.etz.cashpoint.model.primary,UserIP,15,9,0,0,7,3,4,3,4,3
cashpoint-service,com.etz.cashpoint.model.primary,UserPrincipal,40,0,0,0,12,0,9,0,9,0
cashpoint-service,com.etz.cashpoint.model.primary,User,402,3,64,0,36,2,55,1,23,1
cashpoint-service,com.etz.cashpoint.model.primary,Role,7,10,0,0,3,5,2,3,2,3
cashpoint-service,com.etz.cashpoint.model.primary,Transaction,133,3,0,0,57,2,38,1,38,1
cashpoint-service,com.etz.cashpoint.service.secondary,MPOSDeviceService,9,3,0,0,1,1,1,1,1,1
cashpoint-service,com.etz.cashpoint.interceptor,RestTemplateLoggingInterceptor,77,0,4,0,21,0,7,0,5,0
cashpoint-service,com.etz.cashpoint.interceptor,ClientIpInterceptor,34,7,2,0,5,2,2,2,1,2
cashpoint-service,com.etz.cashpoint.dto.response,TransactionResponse,281,0,48,0,21,0,41,0,17,0
cashpoint-service,com.etz.cashpoint.dto.response,PagedResponse,110,0,0,0,45,0,19,0,19,0
cashpoint-service,com.etz.cashpoint.dto.response,UserResponse,38,0,0,0,16,0,11,0,11,0
cashpoint-service,com.etz.cashpoint.dto.response,BaseResponse,178,0,30,0,9,0,26,0,11,0
cashpoint-service,com.etz.cashpoint.exception,ErrorResponse,48,0,0,0,20,0,10,0,10,0
cashpoint-service,com.etz.cashpoint.exception,CashpointException,55,0,0,0,13,0,8,0,8,0
cashpoint-service,com.etz.cashpoint.exception,NotAuthorizedException,9,0,0,0,4,0,2,0,2,0
cashpoint-service,com.etz.cashpoint.exception,NotFoundException,9,0,0,0,4,0,2,0,2,0
cashpoint-service,com.etz.cashpoint.exception,AppExceptionHandler,159,3,4,0,27,1,9,1,7,1
cashpoint-service,com.etz.cashpoint.exception,BadRequestException,9,0,0,0,4,0,2,0,2,0
cashpoint-service,com.etz.cashpoint.exception,ForbiddenException,9,0,0,0,4,0,2,0,2,0
